url_path,views_total,views_unique
/hseera/python-utilities,238,19
/hseera/python-utilities/pulse,92,2
/hseera/python-utilities/graphs/traffic,91,1
/hseera/python-utilities/actions,68,1
/hseera/python-utilities/blob/main/.github/workflows/main.yml,39,1
/hseera/python-utilities/tree/main/.github/workflows,38,1
/hseera/python-utilities/actions/workflows/main.yml,19,1
/hseera/python-utilities/edit/main/.github/workflows/main.yml,17,1
/hseera/python-utilities/actions/new,8,1
/hseera/python-utilities/tree/main/hseera/python-utilities,8,1
