time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-03-27 00:00:00+00:00,2.0,2.0,15,2
2021-03-28 00:00:00+00:00,1.0,1.0,15,1
2021-03-29 00:00:00+00:00,1.0,1.0,30,2
2021-03-30 00:00:00+00:00,,,15,2
2021-03-31 00:00:00+00:00,,,20,3
2021-04-01 00:00:00+00:00,,,3,1
2021-04-02 00:00:00+00:00,,,17,1
2021-04-03 00:00:00+00:00,11.0,8.0,55,1
2021-04-04 00:00:00+00:00,2.0,2.0,43,2
2021-04-05 00:00:00+00:00,,,40,1
2021-04-06 00:00:00+00:00,,,7,1
2021-04-07 00:00:00+00:00,,,11,1
2021-04-08 00:00:00+00:00,,,5,1
2021-04-09 00:00:00+00:00,,,11,1
